START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
33251,45169,0.031090752,0.031768952,0.000678199,0.000678199,2.181352834,72,Computer programming and related consultacy,0
5369,7533,0.005020187,0.005298225,0.000278037,0.000278037,5.538379347,73,Information services,0
49334,75970,0.046128874,0.053432382,0.007303508,0.007303508,15.8328339,74,Financial services exc. insurance,0
7447,23572,0.006963184,0.016579019,0.009615835,0.009615835,138.0953742,75,Insurance,0
9219,12228,0.008620061,0.008600384,-1.97E-05,0.000019677,0.228269846,76,Financial auxiliary services,0
17602,27012,0.016458435,0.018998493,0.002540058,0.002540058,15.43316846,77,"Real estate purchase, leasing and sale exc. estate agency",0
0,0,0,0,0,0,0,78,Imputed activity of owner-occupiers,0
539,369,0.000503982,0.000259531,-0.000244452,0.000244452,48.50411324,79,Estate agency,0
16909,24123,0.015810458,0.016966557,0.001156099,0.001156099,7.312242315,80,Legal services,0
9972,14810,0.00932414,0.010416396,0.001092255,0.001092255,11.7142707,81,Accountancy and tax consultancy,0
26538,35866,0.024813882,0.025225823,0.000411942,0.000411942,1.660127182,82,Head offices and management consultancy,0
26842,33436,0.025098132,0.023516719,-0.001581413,0.001581413,6.300919128,83,Architecture,0
2265,5194,0.002117848,0.003653123,0.001535276,0.001535276,72.49226573,84,Research and development,0
20641,25031,0.019299998,0.017605186,-0.001694812,0.001694812,8.781410236,85,Advertising and market research,0
8999,13445,0.008414354,0.009456343,0.001041989,0.001041989,12.38346996,86,"Other professional, scientific and technical activities",0
269,304,0.000251524,0.000213814,-3.77E-05,3.77E-05,14.98862932,87,Veterinary activities,0
19320,23483,0.01806482,0.016516423,-0.001548398,0.001548398,8.571344746,88,Rental and leasing exc. real estate,0
27062,33755,0.025303839,0.023741083,-0.001562756,0.001562756,6.17596405,89,Employment agency activities,0
13562,15302,0.012680905,0.010762437,-0.001918469,0.001918469,15.12880193,90,Travel agency activities,0
4784,6136,0.004473194,0.004315665,-0.000157528,0.000157528,3.521600002,91,Security and investigation,0
9471,15281,0.008855689,0.010747667,0.001891977,0.001891977,21.36453753,92,Building maintenance and landscaping,0
21631,32544,0.020225679,0.022889344,0.002663664,0.002663664,13.16971361,93,Business and admin support,0
11207,12986,0.010478905,0.009133512,-0.001345393,0.001345393,12.83906095,94,Public administration and defence,0
16173,23725,0.015122274,0.01668663,0.001564356,0.001564356,10.34471403,95,Education,0
1161,1936,0.001085572,0.001361657,0.000276085,0.000276085,25.43221454,96,Health,0
6582,11311,0.006154381,0.007955425,0.001801044,0.001801044,29.26442156,97,Residential care and social work,0
1486,3245,0.001389458,0.002282323,0.000892865,0.000892865,64.25994884,98,Creative and entertainment activities,0
1762,1813,0.001647527,0.001275147,-0.00037238,0.00037238,22.60236099,99,Libraries and museums,0
2977,4630,0.002783591,0.003256442,0.000472852,0.000472852,16.98712203,100,Gambling,0
1112,1526,0.001039756,0.00107329,3.35E-05,0.000033534,3.225179754,101,Sports and recreation,0
3589,7289,0.00335583,0.005126611,0.001770781,0.001770781,52.76730347,102,Membership organisations,0
2117,2629,0.001979463,0.001849068,-0.000130394,0.000130394,6.587342123,103,Repair of computers and household goods,0
2742,3896,0.002563858,0.002740194,0.000176336,0.000176336,6.877760001,104,Other personal services,0
0,0,0,0,0,0,0,105,Direct employment of domestic staff,0
